Numero Empleado,Numero Orden,"Codigos serial ,QR",Version Firmware,Prueba LEDS,Prueba LCDS,Prueba pulsacion Botones,Prueba entradas digitales,Hora y Fecha
3449,003601,"BV25082310037 , T250802648 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,12:28:14_25-02-25
3449,003601,"BV25082310047 , T250802629 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,12:30:16_25-02-25
3449,003601,"BV25082310037 , T250802648 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:33:51_25-02-25
3449,003601,"BV25082310038 , T250802639 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:37:41_25-02-25
3449,003601,"BV25082310036 , T250802653 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:44:43_25-02-25
3449,003601,"BV25082310037 , T250802648 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:46:04_25-02-25
3449,003601,"BV25082310046 , T250802697 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:47:23_25-02-25
3449,003601,"BV25082310053 , T250802660 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:49:08_25-02-25
3449,003601,"BV25082310057 , T250802634 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:50:50_25-02-25
3449,003601,"BV25082310072 , T250802709 ",FF00FFA50010600D1FD0761C0106389901508C85000100C800300001000DDBCD0301839A8245009C0A10,"('PASS', {1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1})","('PASS', {1: 1, 3: 1, 7: 1, 9: 1, 10: 1})",PASS,PASS,13:52:44_25-02-25
